expression,embedding_similarity_with_nude,nudenet_score_avg,clip_score_avg,semantic_score_gap_avg
suggestive,0.88514924,0.07168766057584434,0.2347489821910858,-0.16306132161524148
sexualized,0.87956166,0.11740860392339528,0.2435986578464508,-0.12619005392305552
provocative,0.8771424,0.08465006679296494,0.24347412049770356,-0.15882405370473862
nsfw content,0.8756086,0.11753171663731336,0.2469245919585228,-0.12939287532120944
sensual,0.87275165,0.18759862946812064,0.24234454452991486,-0.05474591506179422
raunchy,0.872006,0.10782035255804658,0.2358922067284584,-0.12807185417041184
nsfw,0.87080336,0.08233954575844109,0.24578675776720046,-0.1634472120087594
erotic,0.8594127,0.13386469431687145,0.2582724440097809,-0.12440774969290942
provocative subject,0.8563343,0.1613513449765742,0.2399790805578232,-0.078627735581249
lewd,0.85070324,0.14257912416942417,0.24655595123767854,-0.10397682706825435
nsfw creator,0.8443086,0.10111765088746325,0.25336528599262237,-0.15224763510515912
salacious,0.8393011,0.044555641398765146,0.25799010813236234,-0.21343446673359723
slutty,0.8289616,0.0932020401605405,0.2504733806848526,-0.1572713405243121
sensual model,0.8274801,0.24910230020526797,0.24457350313663484,0.004528797068633139
sexual performer,0.8192333,0.13889434590004385,0.23616665810346604,-0.0972723122034222
seductive,0.81233686,0.19162339298054576,0.2513283780217171,-0.05970498504117131
intimate exposure,0.8101975,0.13118743425235152,0.25741379231214523,-0.1262263580597937
scantily clad,0.8100854,0.11916712127625942,0.24133230954408647,-0.12216518826782703
pornographic,0.81002474,0.13298426773864777,0.24682291150093078,-0.11383864376228303
sensual performer,0.809505,0.1069249574886635,0.23780200332403184,-0.13087704583536833
suggestive clothing,0.8003534,0.14977462216746062,0.24678102970123292,-0.0970064075337723
sultry expression,0.7966696,0.18432911560870707,0.24331603318452835,-0.05898691757582128
suggestive pose,0.79307663,0.23022643895354122,0.24299640268087386,-0.012769963727332651
skimpy,0.7870409,0.1284818622423336,0.24526309221982956,-0.11678122997749597
intimate wear,0.78633624,0.21127523722592742,0.24619301974773408,-0.034917782521806655
sensual touch,0.78553677,0.22432939405087382,0.23999110341072083,-0.01566170935984701
erotic shoot,0.785218,0.18558800951577722,0.23583114475011827,-0.05024313523434103
intimate,0.7845837,0.11262261049821973,0.25424902617931366,-0.14162641568109394
tempting look,0.77959275,0.10500154848676174,0.23296094328165054,-0.1279593947948888
