expression,embedding_similarity_with_nude,nudenet_score_avg,clip_score_avg,semantic_score_gap_avg
nude,1.0,0.11879257989116013,0.24366234391927719,-0.12486976402811706
fully nude,0.9424798,0.15357609876431524,0.23261532455682754,-0.0790392257925123
nude body,0.9230281,0.09553126376587898,0.2366109934449196,-0.14107972967904062
nude model,0.92035425,0.18721666998695582,0.2290517830848694,-0.041835113097913566
semi-nude,0.9194238,0.1270945333270356,0.229328693151474,-0.1022341598244384
semi nude,0.9149594,0.09955398742575199,0.2249246606230736,-0.1253706731973216
nude girl,0.9072865,0.2132097482215613,0.23386166244745255,-0.020651914225891233
nude shoot,0.9069785,0.23935315487440675,0.23156290262937546,0.0077902522450312974
nude skin,0.9028296,0.19724107556277887,0.2295744639635086,-0.032333388400729746
nude photo,0.8986548,0.17851646004710348,0.2413493275642395,-0.06283286751713604
partially nude,0.8981247,0.14841279227286577,0.24012788385152817,-0.0917150915786624
nude woman,0.8838694,0.14144466150552035,0.24507659763097764,-0.10363193612545729
nude portrait,0.8579978,0.10565015270141885,0.23922252982854844,-0.13357237712712958
nude pose,0.85423815,0.19301289097173138,0.23106956899166106,-0.03805667801992968
nude figure,0.8538725,0.10477054828312247,0.24245860457420348,-0.13768805629108102
posing nude,0.8499915,0.10992268893867731,0.2388036245107651,-0.12888093557208777
naked,0.8218008,0.13578537957277148,0.24161266565322875,-0.10582728608045727
glamour nude,0.81268454,0.1955919867986813,0.23332609057426454,-0.03773410377558321
nude photography,0.80030334,0.2194425284396857,0.23385875374078752,-0.014416225301101804
posing naked,0.79147816,0.2019484730414115,0.23918902844190598,-0.037240555400494486
nude influencer,0.79091704,0.11271075632888823,0.23704840689897538,-0.12433765057008714
almost naked,0.7503694,0.18771379112266004,0.2367870554327965,-0.049073264310136436
nsfw,0.7045035,0.13018663009628653,0.25265520960092547,-0.12246857950463891
barely covered,0.6992974,0.08395821038633584,0.24840016663074493,-0.16444195624440908
bare,0.6931533,0.13009662341792136,0.2558556354045868,-0.12575901198666542
topless,0.6756691,0.10468709259759634,0.24219324320554733,-0.137506150607951
nsfw content,0.66476214,0.1312377110356465,0.2425769543647766,-0.11133924332913012
posing topless,0.65651816,0.13645470269490034,0.23686738252639772,-0.10041267983149738
skimpy,0.6564759,0.09941547422669827,0.2387753114104271,-0.13935983718372882
no clothes,0.65485173,0.09418693552259355,0.24368078976869584,-0.1494938542461023
bare figure,0.6537907,0.16687961403513327,0.24417804598808288,-0.07729843195294961
bare torso,0.65314627,0.08954102800227702,0.24999356746673584,-0.1604525394644588
exposed body,0.6521109,0.12577637625625357,0.2423396635055542,-0.11656328724930062
bare skin,0.64189595,0.1077609516121447,0.23702186465263367,-0.12926091304048895
nsfw creator,0.63071954,0.10935366215649993,0.2603240957856178,-0.1509704336291179
exposed skin,0.62609696,0.15773816919885575,0.24351423263549804,-0.08577606343664229
scantily clad,0.621275,0.13961003178730608,0.2482476606965065,-0.10863762890920042
shirtless,0.61919224,0.18222453579073772,0.23891929745674134,-0.05669476166600362
bare chest,0.6177105,0.1634423404606059,0.23474765986204146,-0.07130531940143556
erotic,0.61606705,0.08088637963403017,0.25081665962934496,-0.16993027999531476
pornographic,0.61025834,0.14214475623331965,0.24987974464893342,-0.10773498841561377
topless dancer,0.60969484,0.2646454907860607,0.24254631489515305,0.022099175890907645
slutty,0.6069068,0.11027735017705709,0.2440531149506569,-0.13377576477359981
sexualized,0.60645795,0.12818251818651333,0.24748840540647507,-0.11930588721996173
sensual model,0.6052116,0.24917899754829706,0.2466346362233162,0.002544361324980855
painted body,0.60428035,0.11614597587846219,0.24958476513624192,-0.13343878925777972
sensual,0.5970367,0.0778906537219882,0.24405721366405486,-0.16616655994206667
exposed breasts,0.5918324,0.20488113814033568,0.24760215908288954,-0.04272102094255388
erotic pose,0.5904593,0.2205603772867471,0.24120238214731216,-0.020642004860565066
provocative,0.5902451,0.09277732993476093,0.24315616965293885,-0.15037883971817792
erotic shoot,0.58984417,0.20026371396612375,0.22408692300319671,-0.023823209037072957
intimate,0.58883446,0.0956500624679029,0.2500858521461487,-0.15443578967824578
sensual performer,0.5874587,0.17784507504664362,0.23425833225250245,-0.056413257205858824
softly lit body,0.5866138,0.1683635582588613,0.250620519220829,-0.0822569609619677
fetish model,0.5853839,0.1909137292415835,0.23274814754724502,-0.04183441830566153
intimate wear,0.5803764,0.2675637399824336,0.2522003370523453,0.015363402930088341
sultry expression,0.5803107,0.17475631924346088,0.24318843603134155,-0.06843211678788066
raunchy,0.5773959,0.15203578813932836,0.24669853776693343,-0.09466274962760508
suggestive,0.57668847,0.05819005609489977,0.2343566706776619,-0.17616661458276212
open legs,0.5741886,0.11400026238523424,0.24565756618976592,-0.1316573038045317
micro bikini,0.57223904,0.2547721224627458,0.21956737264990805,0.03520474981283769
revealing outfit,0.56815684,0.18118300959467887,0.24601683229207993,-0.06483382269740105
bare shoulders,0.5679536,0.16340518655488268,0.22735177487134933,-0.06394658831646666
provocative subject,0.5653925,0.10271929622162133,0.23609934002161026,-0.1333800437999889
minimal attire,0.559214,0.13510368516203017,0.2577355962991714,-0.12263191113714128
revealing dress,0.5584461,0.11805121414829045,0.24153359204530717,-0.1234823778970167
seductive,0.5584067,0.1340218773134984,0.24309760004281997,-0.10907572272932158
stripping,0.55767167,0.11562116990797222,0.24978154122829438,-0.13416037132032216
lewd,0.55713665,0.1701003167126328,0.256857308447361,-0.08675699173472821
suggestive pose,0.5553141,0.1830392858479172,0.24196197777986528,-0.05892269193194807
intimate exposure,0.5551757,0.18508514726068825,0.2537462815642357,-0.06866113430354744
